X,Y,fid,objectid,cam_num,notes,location,proj,xcoord,ycoord,created_us,created_da,last_edite,last_edi_1
-8526322.7014,4762515.2809,121,121,221, ,Fleet St - S Broadway St (East),BPD Cameras,-76.59326,39.28456399, , , , 
-8526110.4152,4762538.5801,122,122,222, ,Fleet St - S Ann St,BPD Cameras,-76.591353,39.284726, , , , 
-8526708.3121,4762495.28970001,123,123,223, ,Fleet St - S Caroline St,BPD Cameras,-76.59672399,39.28442499, , , , 
-8526877.629,4762483.92790001,124,124,224, ,Fleet St - S Eden St,BPD Cameras,-76.59824499,39.284346, , , , 
-8526314.3267,4762367.24580001,125,125,225, ,S Broadway - Aliceanna St(East),BPD Cameras,-76.59318476,39.28353469, , , , 
-8526307.6732,4762123.6623,126,126,227, ,Thames St - S Broadway,BPD Cameras,-76.59312499,39.281841, , , , 
-8530568.9731,4757623.522,127,127,307, ,Behind Bldg 1200,BPD Cameras,-76.6314049,39.25054306, , , , 
-8530660.2189,4757680.0886,128,128,302, ,Back of 1312 Shellbanks,BPD Cameras,-76.63222458,39.25093656, , , , 
-8530620.3016,4757615.03190001,129,129,305, ,Shellbanks Rd - Blyden Rd,BPD Cameras,-76.63186599,39.250484, , , , 
-8530747.6512,4757562.13150001,130,130,303, ,Berea Rd - Slater Rd,BPD Cameras,-76.63301,39.250116, , , , 
-8530634.7896,4757403.2681,131,131,308, ,Fisk Rd - Slater Rd,BPD Cameras,-76.63199614,39.24901086, , , , 
-8530657.3509,4757366.46960001,132,132,309, ,Behind 1201 Slater Rd,BPD Cameras,-76.63219881,39.24875487, , , , 
-8530741.0678,4757492.2258,133,133,306, ,Back of 1301 Slater Rd.,BPD Cameras,-76.63295086,39.2496297, , , , 
-8530451.0961,4757505.35,134,134,310, ,Giles Rd - Shellbanks Rd,BPD Cameras,-76.630346,39.249721, , , , 
-8530410.1856,4757463.38200001,135,135,311, ,Rear of 2701 Giles-Shellbanks,BPD Cameras,-76.62997849,39.24942904, , , , 
-8530330.871,4757341.18860001,136,136,313, ,Spelman Rd - Woodview Rd,BPD Cameras,-76.629266,39.24857899, , , , 
